e,time,g_mean
A,0,0.19999999999999973
a,0,0.2000000000000001
A,1,0.15555501760563387
a,1,0.20681534482758626
A,2,0.10854128521126759
a,2,0.2275239478448276
A,3,0.07815776848591549
a,3,0.25802815262823275
A,4,0.0792940339458627
a,4,0.2735553889204867
A,5,0.06430051740770797
a,5,0.2944785724077462
A,6,0.063144723307796
a,6,0.3263522109427017
A,7,0.059542968984519405
a,7,0.35590881623722476
A,8,0.06314648536454201
a,8,0.39646871801171085
A,9,0.05769363014213888
a,9,0.44096051353633964
A,10,0.05716289122481915
a,10,0.48288620941368915
A,11,0.06357702085608141
a,11,0.5198206010416124
A,12,0.06093576882573545
a,12,0.5377075436332638
A,13,0.06356115219397747
a,13,0.5603244656064242
A,14,0.060464270533133475
a,14,0.5753104675377313
A,15,0.0637031654881851
a,15,0.5906811215813863
A,16,0.06520132137472517
a,16,0.6168300775111133
A,17,0.06863781303954572
a,17,0.6379329873648992
A,18,0.06356878982739103
a,18,0.6309667601167003
A,19,0.06722784854928322
a,19,0.6592816245033275
A,20,0.06933061705907465
a,20,0.6780423950463503
A,21,0.07399253047088414
a,21,0.6850614769254433
A,22,0.07379011085762922
a,22,0.683358417880574
A,23,0.06578817423791092
a,23,0.6764980972659695
A,24,0.06632128699302367
a,24,0.6730945632873275
A,25,0.0721424092746526
a,25,0.6784273150476375
A,26,0.07131921194391391
a,26,0.6791619989332528
A,27,0.06654139944391389
a,27,0.6855304297658935
A,28,0.06798758343715568
a,28,0.6966256503246859
A,29,0.06824505095183898
a,29,0.7106146666940407
A,30,0.07530542248222499
a,30,0.719790144219768
A,31,0.07438208766324722
a,31,0.7192849104721946
A,32,0.07365952160744382
a,32,0.7103111981789255
A,33,0.07302031497232057
a,33,0.7126852181203065
A,34,0.07186065670527629
a,34,0.7097393703611311
A,35,0.06809675552814409
a,35,0.7078372000509714
A,36,0.06835342465127772
a,36,0.7157235878886301
A,37,0.06783967796469469
a,37,0.7147482616550145
A,38,0.0665407616024588
a,38,0.7091405030343247
A,39,0.07125092580245991
a,39,0.7183551937129475
A,40,0.06977029199964302
a,40,0.7224638070368204
A,41,0.07077474407985868
a,41,0.7332896287956115
A,42,0.06460731450239389
a,42,0.7375340090033011
A,43,0.06039926080724655
a,43,0.7320121015888216
A,44,0.06339730679877384
a,44,0.7470195901394036
A,45,0.06894911593879913
a,45,0.7505454578128078
A,46,0.07190510625570054
a,46,0.7574901402960912
A,47,0.06532519450393999
a,47,0.7557471339333053
A,48,0.07191974575109712
a,48,0.7591745905976015
A,49,0.07323947418881856
a,49,0.763928204728365
A,50,0.07630431653996014
a,50,0.7833354240434562
A,51,0.06801241895575572
a,51,0.7876714627923856
A,52,0.07453945990108478
a,52,0.8061844292566839
A,53,0.07648367841650949
a,53,0.8015789123848798
A,54,0.07301912355614812
a,54,0.8145216898550933
A,55,0.07147296241429446
a,55,0.8110498303523639
A,56,0.06866401517498229
a,56,0.8141120154083192
A,57,0.07051846242141008
a,57,0.794513829339877
A,58,0.07677497304915143
a,58,0.7977463688178743
A,59,0.08460851121153277
a,59,0.7930700280208695
A,60,0.07968333010005524
a,60,0.8002635129236889
A,61,0.07571535062182194
a,61,0.8023185525591764
A,62,0.07462051853555432
a,62,0.8075184720480238
A,63,0.07607190888134426
a,63,0.8060218332681566
A,64,0.06711201184265694
a,64,0.8054029997343899
A,65,0.07216910817748011
a,65,0.8017214253383801
A,66,0.07509208062458682
a,66,0.8185309083417991
A,67,0.07334423237754835
a,67,0.8120202637614481
A,68,0.07660672416504093
a,68,0.8102918154855859
A,69,0.07059546117624595
a,69,0.8119297465200688
A,70,0.07396926814379134
a,70,0.8158744989322791
A,71,0.0770619686680899
a,71,0.812719151141824
A,72,0.0784757890906251
a,72,0.8207647919355853
A,73,0.08073846954837158
a,73,0.8242055246942058
A,74,0.0860217752261885
a,74,0.8261969040045507
A,75,0.07844502168369012
a,75,0.8325256823944334
A,76,0.07901136082321475
a,76,0.839839982502192
A,77,0.07685995237251052
a,77,0.8250665563168472
A,78,0.07491986552226844
a,78,0.8239588252284851
A,79,0.07199342427842874
a,79,0.8293162492485301
A,80,0.07495293132068229
a,80,0.8289751929406172
A,81,0.076689436382302
a,81,0.8138833586128963
A,82,0.07546569539908166
a,82,0.8134168158231669
A,83,0.07451542351646417
a,83,0.8250557562088192
A,84,0.07659876499028205
a,84,0.8160788649081364
A,85,0.07567349935427853
a,85,0.8252462552786709
A,86,0.07544128104441938
a,86,0.8257435917702193
A,87,0.06675528632610953
a,87,0.8199857539027859
A,88,0.07221033958315179
a,88,0.8263564435579586
A,89,0.06840747822751797
a,89,0.8180408605634427
A,90,0.07215950287540528
a,90,0.8195286794536837
A,91,0.07466861798396429
a,91,0.8063704741379311
A,92,0.07389966331978222
a,92,0.807511101858836
A,93,0.07267792036203574
a,93,0.7887716584051723
A,94,0.0686902443056977
a,94,0.7995749020985992
A,95,0.06883108937612026
a,95,0.8043234963414602
A,96,0.07634727955829931
a,96,0.8154519396551725
A,97,0.0789639393108622
a,97,0.8172303663793103
A,98,0.07945060018485602
a,98,0.8199707640086207
A,99,0.07371708367957432
a,99,0.8273158071120691
A,100,0.07781829384682785
a,100,0.8234409404108297
A,101,0.08165594709550723
a,101,0.8269405736382679
A,102,0.0769968097715636
a,102,0.825234826864901
A,103,0.0779862463912819
a,103,0.8270219884667668
A,104,0.07963970835873335
a,104,0.8228055142507107
A,105,0.08165409197449039
a,105,0.8251314523062362
A,106,0.0884791806298601
a,106,0.8210871783227977
A,107,0.08561764955351861
a,107,0.8172009006452048
A,108,0.08410184688539786
a,108,0.8224638316796874
A,109,0.0833150679026734
a,109,0.8266453847938442
A,110,0.08409165951603853
a,110,0.8295618185222926
A,111,0.08175263237905438
a,111,0.8236911288671201
A,112,0.08535853643935369
a,112,0.8240440042759934
A,113,0.08372657794995826
a,113,0.8277509008277175
A,114,0.07850889363440479
a,114,0.8171519784139242
A,115,0.081377661460109
a,115,0.8244280560001311
A,116,0.08523857397683571
a,116,0.8152913020113447
