e,time,g_mean
A,0,0.19999999999999973
a,0,0.2000000000000001
A,1,0.19602584507042253
a,1,0.2028350112068966
A,2,0.19057830035211262
a,2,0.20596183128471984
A,3,0.18593899011510395
a,3,0.20819851402293865
A,4,0.1802196997624219
a,4,0.20973901462776737
A,5,0.17576390808250889
a,5,0.2115275454015163
A,6,0.1702278836074827
a,6,0.2120893751055774
A,7,0.1664033210936846
a,7,0.21450780318681859
A,8,0.16127333272204097
a,8,0.216189476953498
A,9,0.15422528852702366
a,9,0.2165253230430715
A,10,0.14889714894237663
a,10,0.21867962390552967
A,11,0.1444165545522868
a,11,0.2205257814836456
A,12,0.13900026375297742
a,12,0.22184236524219902
A,13,0.13311101589290672
a,13,0.22427761362771062
A,14,0.12688762377071416
a,14,0.22695696150326558
A,15,0.12261486196080543
a,15,0.2274322844398338
A,16,0.11732978186047485
a,16,0.23081813758982672
A,17,0.1114306207526903
a,17,0.23127030499375567
A,18,0.10739878367139218
a,18,0.23144817453128375
A,19,0.1021237986971625
a,19,0.23254831291590597
A,20,0.09854337429625215
a,20,0.23408074404510482
A,21,0.09327500601566761
a,21,0.23640876114038326
A,22,0.08974135215952847
a,22,0.23711339067989595
A,23,0.08370313482843736
a,23,0.23692028600761933
A,24,0.08005184929259695
a,24,0.23885965784255514
A,25,0.07547268718731524
a,25,0.24256995201085677
A,26,0.07151405290119771
a,26,0.24284778397750692
A,27,0.0679147231229631
a,27,0.245387106390681
A,28,0.06414549427129199
a,28,0.2462467209032369
A,29,0.06080185421526433
a,29,0.2476905869377883
A,30,0.05827215955650893
a,30,0.24982012331074238
A,31,0.05649990659917497
a,31,0.24958268076383316
A,32,0.054594055113801915
a,32,0.25082916356566165
A,33,0.052259856459080434
a,33,0.25281929354317456
A,34,0.05022457942998794
a,34,0.2533475768292386
A,35,0.04839963057510922
a,35,0.254104204037715
A,36,0.046717788539185755
a,36,0.25507832066284647
A,37,0.044762199897484194
a,37,0.2554218199593716
A,38,0.043379251030440664
a,38,0.25560518822122497
A,39,0.04234979695394858
a,39,0.2589321622092698
A,40,0.04160365710387226
a,40,0.2608112048106773
A,41,0.04084328842207496
a,41,0.26412458569525027
A,42,0.039925662549943196
a,42,0.2682196079950008
A,43,0.03855779458225869
a,43,0.2710731039771818
A,44,0.03834947097356309
a,44,0.271784214688092
A,45,0.03741138564772814
a,45,0.27218431240129914
A,46,0.036524892427121314
a,46,0.2728068314842227
A,47,0.036485597322356754
a,47,0.2770377810146693
A,48,0.03552864147032441
a,48,0.27879362745920033
A,49,0.03533376126228446
a,49,0.28052350085761757
A,50,0.034127217358165936
a,50,0.2821906489076916
A,51,0.0328081464706155
a,51,0.2821035994161758
A,52,0.03248857473503846
a,52,0.2842307368869214
A,53,0.03199427954350236
a,53,0.2856276176161281
A,54,0.030996994845352295
a,54,0.28672879942065554
A,55,0.03070460110861065
a,55,0.28818354068481916
A,56,0.029692550623223322
a,56,0.29004745102641394
A,57,0.02908319642627912
a,57,0.29150373302717913
A,58,0.028638719694237907
a,58,0.29247155136334235
A,59,0.028006668711214995
a,59,0.2936401953932914
A,60,0.028059847738045884
a,60,0.29648457651725724
A,61,0.027511971810753027
a,61,0.29768477795430287
A,62,0.027201218030785807
a,62,0.3003554569606584
A,63,0.025927164671057615
a,63,0.30087469451451443
A,64,0.02633132340848201
a,64,0.30468200681453983
A,65,0.025452258741950954
a,65,0.30661412528355436
A,66,0.025199332714465113
a,66,0.30879553814508753
A,67,0.025914449089278938
a,67,0.307743750746938
A,68,0.025259689505063996
a,68,0.31046969760767296
A,69,0.02493709151737768
a,69,0.3121097740082648
A,70,0.024381528977770885
a,70,0.3136397169611946
A,71,0.023617055380195144
a,71,0.3152879743504873
A,72,0.02333636183154462
a,72,0.31721111562046406
A,73,0.02325619490827147
a,73,0.32158681986567933
A,74,0.023243662569667763
a,74,0.3233232038646484
A,75,0.02290713374567259
a,75,0.3226370619893916
A,76,0.02228728756016402
a,76,0.32600864442163335
A,77,0.021914020889405597
a,77,0.3270751259299659
A,78,0.02229378501025423
a,78,0.3285989822103412
A,79,0.02252107108591839
a,79,0.3323302241588508
A,80,0.022713517813013503
a,80,0.3328085543735664
A,81,0.021681116061404018
a,81,0.3332190347693682
A,82,0.021821610806166347
a,82,0.3330780109752309
A,83,0.0217997315742622
a,83,0.3352322174008319
A,84,0.021395919891531414
a,84,0.3342226940815673
A,85,0.021272744070147603
a,85,0.3379511575486116
A,86,0.021366333783381087
a,86,0.33912625354931836
A,87,0.02129569100968924
a,87,0.342158082308903
A,88,0.021648507911097688
a,88,0.34236576826200416
A,89,0.021405252783571097
a,89,0.34212822062823706
A,90,0.02193317780356152
a,90,0.34223838902308407
A,91,0.02107754560213703
a,91,0.34506540579596096
A,92,0.021053797207082534
a,92,0.34624868036196577
A,93,0.020550972820254598
a,93,0.3503566714073386
A,94,0.02097264911807269
a,94,0.3519066057425829
A,95,0.020671092360058
a,95,0.3544175346772947
A,96,0.019880143583937585
a,96,0.35602347047948263
A,97,0.01940641974351011
a,97,0.3572574900913812
A,98,0.019569269867542843
a,98,0.3607112156130049
A,99,0.02004065075342574
a,99,0.3647907887288428
A,100,0.019880963953006054
a,100,0.36755657776816725
A,101,0.019330379095385604
a,101,0.3667917407730011
A,102,0.01887429527555763
a,102,0.3684012682600929
A,103,0.019086843447363902
a,103,0.3695167817494127
A,104,0.018774036441572734
a,104,0.3698256254939872
A,105,0.018492053367116016
a,105,0.3705019444633363
A,106,0.01833139090027712
a,106,0.3709748556161695
A,107,0.018128792797514046
a,107,0.37143672412270523
A,108,0.018264573483427013
a,108,0.3715642094760241
A,109,0.01818135937815896
a,109,0.37049524511052634
A,110,0.01783800666431885
a,110,0.3714698684614644
A,111,0.018227914841304982
a,111,0.37171678618865045
A,112,0.017682939630137968
a,112,0.37244254005042976
A,113,0.0180462266593246
a,113,0.3745710694471112
A,114,0.017795540411754462
a,114,0.3737818197752211
A,115,0.018511698444748998
a,115,0.37437922721117783
A,116,0.01824305345628879
a,116,0.3749900100253605
