e,time,g_mean
A,0,0.5
A,1,0.3928571428571429
A,2,0.28627142857142857
A,3,0.20752000000000007
A,4,0.18129414285714282
A,5,0.17422285714285712
A,6,0.15801434285714286
A,7,0.13704921428571426
A,8,0.12857065
A,9,0.12448134985714283
A,10,0.11466880466285713
A,11,0.10772088205771428
A,12,0.09580553454920002
A,13,0.09470051586126285
A,14,0.09843783015381774
A,15,0.09591493765000002
A,16,0.10385428855785712
A,17,0.10405381498642857
A,18,0.10111753199215001
A,19,0.1055739942778643
A,20,0.09747889020565073
A,21,0.08931950720565071
A,22,0.08506577863422216
A,23,0.07966577863422214
A,24,0.08242735356279357
A,25,0.0908815174905015
A,26,0.09979559214740877
A,27,0.08850104929026596
A,28,0.09737651377857143
A,29,0.09126365663571429
A,30,0.08358373372785716
A,31,0.0926347457142857
A,32,0.11018101428571422
A,33,0.09206672857142856
A,34,0.09115244285714283
A,35,0.10007184285714284
A,36,0.09358797142857143
A,37,0.08588351428571428
A,38,0.10246369257142855
A,39,0.09139669325714286
A,40,0.10096577611428573
A,41,0.10933821086857144
A,42,0.10436315515428571
A,43,0.1048975837257143
A,44,0.10046127769828574
A,45,0.09812183472525716
A,46,0.08666485462921147
A,47,0.08968500175871427
A,48,0.1018550017587143
A,49,0.10308179464442857
A,50,0.1060903517872857
A,51,0.0988119583945857
A,52,0.11806290024316297
A,53,0.10727575738602013
A,54,0.10166789557142854
A,55,0.11151381369999996
A,56,0.10831524227142857
A,57,0.09972805221285715
A,58,0.0938538714285714
A,59,0.09340925857142857
A,60,0.08645528571428569
A,61,0.09274089571428575
A,62,0.09143655671428573
A,63,0.10084648381428571
A,64,0.10657071428571427
A,65,0.10724214285714286
A,66,0.11164207142857141
A,67,0.11340664285714286
A,68,0.10076294285714284
A,69,0.11139261157142859
A,70,0.10281624063014287
A,71,0.1126744220196157
A,72,0.10958952993586299
A,73,0.11236131422157729
A,74,0.10702860522239421
A,75,0.10345688353195415
A,76,0.11176565045657813
A,77,0.12034714646858567
A,78,0.11322636825830142
A,79,0.11273064285714286
A,80,0.10608656428571427
A,81,0.11000627857142857
A,82,0.10576202142857143
A,83,0.10852933857142855
A,84,0.11847327571428568
A,85,0.11134058585714286
A,86,0.11451846844285711
A,87,0.09565903500142857
A,88,0.09805603500142855
A,89,0.09313170993014284
A,90,0.09497066663744287
A,91,0.1043438952088714
A,92,0.09731723330118713
A,93,0.09432714173388712
A,94,0.0955183720186843
A,95,0.09381669329972592
A,96,0.09304181691541281
A,97,0.10347752860695408
A,98,0.09252560990012874
A,99,0.10669398285714285
A,100,0.100879471
A,101,0.09503880971428572
A,102,0.08238315357285714
A,103,0.08223890481571428
A,104,0.08317234811585714
A,105,0.0890181543560143
